Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Cabrito, peito estufado com margarina e óleo alimentar;173;23,3;0,8;8,4
Cabrito, peito estufado, sem molho;153;28,4;0;4,4
Cabrito, peito grelhado;144;26,5;0;4,2
Cabrito, perna assada com azeite e margarina;180;21,7;0,2;10
Cabrito, perna assada com óleo alimentar e margarina;180;21,7;0,2;10
Cabrito, perna assada, sem molho;135;24,3;0;4,2
Cabrito, perna crua;113;19,3;0;4
Cação cru;82;20;0;0,2
Cação frito;170;24;2,7;7
Cacau em pó;358;19,6;11,1;23,4
Cachucho cru;80;18,3;0;0,7
Café solúvel em pó;272;14,9;41,1;0,5
Café solúvel, descafeinado, pó;274;14,7;42,6;0,2
Café, infusão - bica;4;0,4;0,3;0,1
Café, infusão - café de cafeteira;2;0,2;0,3;0
Café, infusão - carioca;2;0,2;0,3;0
Café, infusão - valor médio (bica 60% e café de cafeteira 40%);3;0,3;0,3;0,1
Caldeirada de bacalhau;67;4,2;7,1;2,1
Caldeirada de bacalhau com enchidos e massa;146;7;9,7;8,5
Caldeirada de cabrito com azeite e banha;119;11,3;8,3;4,3
Caldeirada de cabrito com azeite e margarina;116;11,3;8,3;4
Caldeirada de enguias;171;6,6;8,2;11,9
Caldeirada de enguias à moda de Aveiro;245;7,4;5,3;21,4
Caldeirada de pargo e peixe-espada-preto;138;7,2;4,4;9,8
Caldeirada de peixe;84;7,5;4,4;3,5
Caldeirada de safio;81;4,5;7,2;3,1
Caldeirada de safio com amêijoas;80;6,9;5,8;2,7
Caldeirada de safio, raia e tamboril;98;7;9,8;2,9
Caldo preparado com cubo de carne de galinha (diluição 2%);5;0,3;0,2;0,3
Caldo preparado com cubo de carne de vaca (diluição 2%);4;0,4;0,2;0,2
Camarão cozido;99;22,6;0,4;0,8
Camarão cozido sem sal;92;20,2;0,3;1,1
Camarão cru;77;17,6;0,3;0,6
Canela moída;315;3,9;55,5;3,2
Canja de frango com aipo;56;7,8;2,3;1,7
Canja de frango com massa;61;10,8;2,1;1
Canónigos crus;24;2;2;0,4
Cantarilho (Redfish) assado com cebola, tomate, azeite e bacon;142;13,6;1,2;8,6
Cantarilho (Redfish) com batata, no forno;108;8,7;5,7;4,9
Cantarilho (Redfish) cozido;99;19,3;0;2,4
Cantarilho (Redfish) cru;101;18,6;0;2,9
Cantarilho (Redfish) no forno;114;17,3;1,1;2,7
Caracol riscado, cozido;89;10;3,5;3,9
Caracol, cru;85;16,1;2;1,4
Carambola;40;0,5;7,1;0,3
Carapau cru;105;19,7;0;2,9
Carapau frito;186;24;1;9,6
Carapau grelhado;139;26,3;0;3,7
Cardamomo verde;335;10,8;49,5;6,2
Caril em pó;342;12,7;25,2;13,8
Carne à bolonhesa;238;11,5;15,6;14
Carne à jardineira;140;9,7;5,6;8,1
Carne de porco à alentejana;229;14,6;1,8;16,9
Carne de porco à alentejana sem massa de pimentão;183;16;2,2;11,8
Carneiro, costeleta crua;151;20,8;0;7,5
Carneiro, pá assada com azeite e margarina;319;24,3;0;24,6
Carneiro, pá assada com margarina;310;24,3;0;23,6
Carneiro, pá assada, sem molho;202;25,1;0;11,3
Carneiro, pá cozida;238;27,6;0;14,2
Carneiro, pá crua;195;20,5;0;12,6
Carneiro, pá estufada sem molho;238;27,6;0;14,2
Carneiro, peito gordo, cozido;333;23,3;0;26,6
Carneiro, peito gordo, cru;396;16,8;0;36,5
Carneiro, perna gorda, assada, sem molho;285;24,3;0;20,9
Carneiro, perna gorda, crua;276;19,1;0;22,2
Carneiro, perna gorda, estufada sem molho;339;26,5;0;25,9
