Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Puré de batata;126;2,3;16,8;5,2
Queijada de queijo fresco;301;7,5;56,7;4,7
Queijada de queijo magro;292;6,7;55,4;4,7
Queijada de requeijão;311;7,2;40,8;13,1
Queijo Amarelo da Beira Baixa;361;20,5;1,5;30
Queijo Brie;321;18,8;0;27,3
Queijo Camembert;254;19,2;0,2;19,6
Queijo Cheddar;419;25,4;0,1;34,9
Queijo creme para barrar;263;9,3;6,9;22
Queijo creme para barrar, alto teor polinsaturados;263;9,3;6,9;22
Queijo de Azeitão;339;19,5;2,6;27,5
"Queijo de cabra ""Pure chèvre""";286;13;2;25
Queijo de cabra atabafado, curado;313;18,2;2,7;24
Queijo de cabra atabafado, fresco;202;13;2,5;15,4
Queijo de cabra curado;382;21;2,5;30,5
Queijo de Castelo Branco;356;20,8;1,8;29,2
Queijo de Évora;405;23,8;2,1;32,9
Queijo de mistura (vaca, cabra e ovelha);329;19,6;2,4;26,7
Queijo de Nisa;451;23,4;2,6;38
Queijo de ovelha curado;401;22,8;2,4;33
Queijo de ovelha, amanteigado;361;19,7;1,6;30,3
Queijo de vaca curado;355;22,3;1,2;29
Queijo de vaca curado, magro;208;27,1;2,4;10
Queijo de vaca curado, meio gordo;280;23;1,7;20,1
Queijo de vaca, amanteigado;343;20,2;1,7;28,3
Queijo Emmental;384;28,9;0;29,7
Queijo flamengo;349;22,7;0,8;28,3
Queijo flamengo light (-50% gordura);228;26,8;0;13,3
Queijo fresco açucarado com sabor a fruta;110;7,3;11,6;3,6
Queijo fresco de cabra;182;12;2,1;13,8
Queijo fresco de ovelha;204;11,3;3,9;15,6
Queijo fresco magro;96;13;6,9;1,8
Queijo fresco meio gordo;156;9,2;2,7;11,9
Queijo fundido 40% gordura;326;22,5;0,2;25,7
Queijo Gouda;380;25,3;0;30,6
Queijo Gruyère;415;27,2;1,4;33,3
Queijo Mascarpone;458;7,6;0,3;47
Queijo Mestiço de Tolosa;407;24,5;1,8;33
Queijo Mozzarella fresco;256;18,7;1,3;19,5
Queijo Parmesão;406;37,7;0,1;27,8
Queijo Quark açucarado magro com sabor a fruta;78;8,4;10,8;0,1
Queijo Quark natural magro;60;10,3;4;0,3
Queijo Quark natural meio gordo;125;8,1;3,9;8,5
Queijo Raclette;354;25,5;0,4;27,8
Queijo Roquefort;372;22;0,2;31,5
Queijo São Jorge;409;26,6;2,5;32,5
Queijo Serpa;375;22;2,4;30,5
Queijo Serra da Estrela;324;23,8;2;24
Queijo Serra da Estrela, velho;389;25,5;0,2;31,5
Queque;443;6,1;51,7;23,3
Quiabo cru;37;2,8;3,1;1
Quiche de espinafres;275;12,6;12,4;19,1
Quiche de vegetais;302;11,9;12,9;22,2
Quiche lorraine;374;14,4;23,5;24,5
"Quivi, ""Kiwi""";54;0,9;9,5;0,5
"Quivi, ""Kiwi"" desidratado";333;6,1;60,6;2,8
Rabanada;294;4,7;31,3;16,6
Rabanete cru;15;1;1,9;0,2
Rábano cru;88;6;10,7;0,7
Raia crua;58;14,1;0;0,2
Rancho com carne de galinha, porco e vaca;84;5,1;6,5;3,9
Rancho com carne de porco;107;4,8;6,8;6,2
Rebentos de alfalfa crus;29;4;0,3;0,7
Rebentos de bambu crus;14;0,9;1,2;0,2
Rebentos de feijão mungo;21;2;2,1;0,2
Rebentos de soja crus;98;9,2;5,8;3,9
Rebuçados;381;0,3;95;0
Requeijão de cabra;197;10,7;3,4;15,5
Requeijão de mistura (ovelha e cabra);136;7,8;3,7;10
Requeijão de mistura (vaca, ovelha e cabra);179;13,6;4,9;11,7
Requeijão de ovelha;246;11;3,8;20,6
Requeijão de vaca;149;8;5,8;10,4
Rissol;280;7,3;31,8;13,4
Rissol de camarão;211;6,1;26,6;8,6
Robalo assado com cebola, azeite, banha e manteiga;192;20,4;0,6;11,8
Robalo cozido;182;21;0;10,9
Robalo cru;106;18,5;0;3,5
Robalo grelhado;209;23;0;13
Romã;60;0,4;12;0,4
Rúcula crua;29;2,6;2,2;0,7
Safio cru;109;17,7;0;4,2
Sal;0;0;0;0
Salada de alface e tomate temperada com azeite e vinagre;30;1,1;2,6;1,4
Salada de atum;104;6,9;8,4;4,3
Salada de bacalhau com grão;115;8,7;7,6;4,9
Salada de fruta;57;0,6;12,5;0,1
Salada russa;116;1,4;5,6;9,3
Salame;422;19,5;1,3;37,6
Salicórnia fresca;14;0,7;1,1;0,2
Salmão cozido;273;20,7;0;21,1
Salmão cru;262;16,2;0;21,9
Salmão grelhado;309;23,8;0;23,7
Salmonete cru;136;21,7;0,1;5,5
Salpicão;412;20,5;0;36,7
Salsa fresca;20;3,1;0,4;0
Salsa seca;244;15,8;14,5;7
Salsicha de soja;252;13,5;0,6;20,9
Salsicha fresca crua;210;15,5;0;16,4
Salsicha fresca estufada com couve e azeite;140;7,2;1,1;11,6
Salsicha fresca estufada com legumes e azeite;121;5,9;3,7;8,9
Salsicha tipo Frankfurt;178;9;2,4;14,7
Salsicha tipo Frankfurt frita (escorrido o óleo);201;10,2;2,8;16,5
Salsicha tipo Frankfurt grelhada;211;12;3,2;16,7
Sapateira crua;104;19,5;0;2,9
Sarda cozida;174;19,7;0;10,6
Sarda crua;181;19;0;11,7
Sarda grelhada;191;22,5;0;11,2
Sardinha frita;300;22,5;8,7;19,4
Sardinha gorda crua;221;18,4;0;16,4
Sardinha gorda frita;247;23;3,5;15,6
Sardinha gorda grelhada;211;25;0;12,3
Sardinha meio gorda conserva em água, sem espinha e sem pele;174;22;0;9,6
Sardinha meio gorda conserva em azeite;202;22,7;0,8;12
Sardinha meio gorda conserva em azeite (escorrido);189;26,3;0,8;9
Sardinha meio gorda crua;158;18,9;0;9,1
Sardinha meio gorda frita;174;20;0,5;10,2
Sardinha meio gorda grelhada;168;25,9;0;7,2
Seitan;139;25;5,4;1,7
Sementes de abóbora, cruas, secas, miolo;567;22;10;46,4
Sementes de cânhamo secas;424;29,5;2,4;27,9
Sementes de chia;456;14,4;4,6;34,4
Sementes de coentro;358;12,4;16,2;17,8
Sementes de girassol, cruas, secas, miolo;585;22,1;8,3;48,5
Sementes de linhaça cruas;487;25;18,1;31
Sementes de melão;590;28,5;9;47,7
Sementes de mostarda;449;25,5;15,9;28,8
Sementes de papoila;565;19,3;13,7;45,9
Sementes de sésamo;620;22,1;6,4;55
Sêmola de milho;350;8,8;73,8;1,1
Shortening para pastelaria;878;0;0;97,5
Shortening para restaurante;900;0;0;100
Sidra (vinho de maçã);48;0;2,3;0
Sobremesa à base de soja;95;3,5;15,8;1,8
Soja cozida sem sal;151;12,5;5,6;7,5
Soja, farinha com baixo teor de gordura;314;44;21,8;2,6
Soja, grão seco, cru;407;32,8;18,3;19,3
Solha crua;90;19;0;1,6
Solha frita;147;23;8,9;2
Solha grelhada;104;21,9;0;1,8
Sonhos;389;8,7;29,2;26,2
Sopa à lavrador;51;1,2;7,6;1,5
Sopa de abóbora;33;0,6;4;1,5
Sopa de agrião;37;1;4,2;1,6
Sopa de agrião com leite;33;1,3;5,3;0,5
Sopa de agrião com requeijão;28;1,1;2;1,6
Sopa de carne de porco;60;4;7,3;0,9
Sopa de cebola;40;0,8;5,4;1,5
Sopa de cenoura;29;0,9;4,4;0,6
Sopa de couve-branca;40;0,8;5,4;1,5
Sopa de couve-lombarda;41;0,9;5,3;1,5
Sopa de cozido;36;2,6;2,9;1,4
Sopa de ervilhas;48;1,6;6,4;1,5
Sopa de espinafres;39;1;4,8;1,6
Sopa de espinafres com ovos;93;2,5;4,7;6,9
Sopa de favas;49;1,8;6,4;1,5
Sopa de feijão;51;2,5;4,1;2,1
Sopa de feijão-branco com couve-portuguesa, sem adição de sal;47;2,5;4,9;1,3
Sopa de feijão-manteiga;46;1,2;8,7;0,4
Sopa de feijão-manteiga com couve-lombarda;43;2,1;3,5;1,8
Sopa de feijão-verde;32;0,7;3,5;1,5
Sopa de feijão-verde e cenoura;42;0,9;5,8;1,5
Sopa de feijão-verde e nabo;36;0,7;3,4;1,9
Sopa de grão à moda da avó;107;4,7;15,1;2,3
Sopa de grão com arroz e espinafres;60;2,4;7;2,1
Sopa de grão com arroz, espinafres e coentros;45;2,1;5,3;1,3
Sopa de grão com espinafres;55;2,6;5,1;2,3
Sopa de nabiças (ou de grelos de nabo);40;1;5,8;1,2
Sopa de peixe;17;1,3;1,3;0,6
Sopa de peixe com massa;46;2,8;5,8;1,1
Sopa de tomate;31;1,1;4,4;0,8
Sopa de vegetais;11;0,8;1,2;0,2
Sopa juliana;31;0,9;4,3;0,9
Sopa, caldo verde;43;1,3;5,3;1,7
Sopa, canja de galinha;40;2;5,8;0,9
Sopa, creme de cenoura;34;0,6;4,4;1,4
Sopa, puré de feijão;43;1,6;4,5;1,6
Sopa, puré de vegetais;42;1;5,5;1,5
Sucedâneo de café, 20% de café, pó;359;6,5;77;2,8
Sucedâneo de café, pó;375;5;81;3,4
Sultanas;304;2,7;69,4;0,4
Sumo de ananás, 100%;45;0,5;10,3;0
Sumo de ananás, concentrado;265;0;64,7;0
Sumo de laranja, 100%;45;0,5;10,3;0
Sumo de laranja, concentrado;272;0,1;64,9;0,7
Sumo de limão, fresco (espremido);25;0,3;1,5;0
Sumo de maçã, 100%;44;0,5;10,3;0
Sumo de pêssego, 100%;50;0,5;11,5;0
Sumo de tomate, 100%;21;1,1;3,5;0
Tahini;661;18,5;11,6;58,9
Tâmara fresca;147;1,2;33,2;0,1
Tâmara seca;298;2,5;67,3;0,3
Tamarilho sem pele;34;2;4,6;0,3
Tamarindo cru;242;2,3;54,9;0,3
Tamboril cru;73;17,9;0;0,2
Tamboril grelhado;88;21,4;0;0,3
Tângera;41;0,7;7,8;0,1
Tangerina;44;0,7;8,7;0,1
Tapioca;356;0,3;87,5;0,2
Tarte de maçã;200;1,8;29,3;8
Tarte de maçã e pêssego;224;4,4;36,7;6,2
Tisana, infusão de ervas;1;0;0,2;0
Tofu frito com azeite;108;8,7;1,1;7,6
Tofu frito com óleo de milho;108;8,7;1,1;7,6
Tofu simples;77;8,5;0,7;4,4
Tomate cherry cru;30;1;4;0,8
Tomate concentrado;82;3,7;14,3;0,3
Tomate cru;21;0,8;3,1;0,3
Tomate em conserva ao natural;21;1;3,2;0,3
Tomate seco;296;10,5;46;3,9
Tomilho fresco;52;1,5;7,4;1,2
Tomilho seco;321;9,1;45,3;7,4
Toranja;36;0,9;6;0,1
Torta de chocolate e chantilly;369;8;29,6;23,9
Tosta de trigo;377;12,5;69,7;4,2
Tosta de trigo integral;373;15,4;62,6;5,1
Tosta de trigo sem sal;379;11,3;72,7;3,8
Tosta de trigo simples;379;11,3;72,7;3,8
Tremoço cozido, sem sal;124;16;7,2;2,4
Tremoço, cozido e salgado;115;15,7;3,7;2,4
Trigo Sarraceno (grão) cru;337;12,4;61,3;2,5
Tripa de porco fresca;180;7,6;0;16,6
Tripa de vaca crua;160;16,3;0,1;10,5
Truta arco-íris crua;92;17,8;0;2,3
Truta arco-íris grelhada;119;21,3;0;3,7
Túbera (trufa) crua;77;3,3;14,5;0,3
Uva branca (5 variedades);78;0,3;17,3;0,5
Uva de mesa (branca e tinta);73;0,6;15,7;0,5
Uva seca (passas);300;3;68,2;0,8
Uva tinta (5 variedades);83;0,3;18,6;0,5
Vaca assada com azeite e margarina;280;24,2;0;20,4
Vaca assada com azeite, margarina e óleo alimentar;280;24,2;0;20,4
Vaca assada com margarina;273;24,2;0;19,6
Vaca assada com óleo alimentar e margarina;280;24,2;0;20,4
Vaca assada, sem molho;192;26,9;0;9,4
Vaca magra cozida;259;33,7;0;13,8
Vaca magra estufada;226;21,8;1,2;14,2
Vaca magra estufada à jardineira;111;5,5;11,4;4,4
Vaca magra estufada com azeite e margarina;226;21,8;1,2;14,2
Vaca magra estufada com margarina;220;21,8;1,2;13,6
Vaca magra estufada com óleo alimentar e margarina;226;21,8;1,2;14,2
Vaca magra estufada, sem molho;234;31,5;0;12
Vaca meio gorda estufada;278;21,4;1,2;20,2
Vaca meio gorda estufada com azeite e margarina;278;21,4;1,2;20,2
Vaca meio gorda estufada com margarina;273;21,4;1,2;19,6
Vaca meio gorda estufada com óleo alimentar e margarina;278;21,4;1,2;20,2
Vaca meio gorda estufada, sem molho;280;31,8;0;17
Vaca para assar crua;174;19,4;0;10,7
Vaca para cozer ou estufar magra crua;175;21,7;0;9,8
Vaca para cozer ou estufar meio gorda crua;227;21,3;0;15,8
Vaca, bife à café;226;16,9;1,6;16,5
Vaca, bife à Marrare com manteiga;368;16;0,9;33,3
Vaca, bife à Marrare com margarina;363;16;0,8;32,8
Vaca, bife com ovo a cavalo, frito com banha;172;17,2;0,4;11,2
Vaca, bife com ovo a cavalo, frito com manteiga;155;17,4;0,5;9,2
Vaca, bife cru (valor médio de acém, alcatra e lombo);122;20,9;0;4,3
Vaca, bife frito com manteiga (valor médio de acém, alcatra e lombo);201;24,2;0,1;11,5
Vaca, bife frito, sem molho (valor médio de acém, alcatra e lombo);183;28,8;0;7,5
Vaca, bife grelhado (valor médio de acém, alcatra e lombo);163;26,4;0;6,4
Vaca, cachaço cru;137;21,3;0,3;5,6
Vaca, coração cozido;123;23,4;0;3,3
Vaca, coração cru;92;17;0;2,7
Vaca, coração estufado com banha e margarina;154;17,7;0,9;7,8
Vaca, espetada grelhada;213;23,5;0,8;12,8
Vaca, fígado cru;132;20,9;2,1;4,4
Vaca, fígado frito sem molho;171;24,5;2,5;7
Vaca, hambúrguer cru;142;20,2;0;6,8
Vaca, hambúrguer frito;207;19,1;1,2;13,8
Vaca, hambúrguer grelhado;183;27,3;0;8,2
Vaca, língua crua;199;15,9;0;15
Vaca, língua estufada, sem molho;267;19,8;0;20,9
Vaca, lombo magro assado com azeite e margarina;205;26,2;0;11,1
Vaca, lombo magro assado com azeite, manteiga e óleo alimentar;207;26,2;0;11,4
Vaca, lombo magro assado com margarina;198;26,2;0;10,4
Vaca, lombo magro assado com óleo alimentar e margarina;205;26,2;0;11,1
Vaca, lombo magro assado, sem molho;172;29,2;0;6,1
Vaca, lombo magro cru;114;21;0;3,3
Vaca, lombo magro no forno, com tomate, cebola, cenoura e alho;128;11,9;2,5;6,8
Vaca, picanha grelhada;194;21,7;0;11,9
Vaca, rim cru;92;18;0;2,2
Veado cru;112;20,6;0;3,3
Vieira, crua;83;18,5;0;1
Vinagre;22;0,3;0,6;0
Vinho branco de uvas sobreamadurecidas;110;0;10,3;0
Vinho da Madeira;147;0;7,5;0
Vinho do Porto, doce;167;0,1;14;0
Vinho do Porto, meio seco;141;0,1;6,5;0
Vinho do Porto, seco;138;0,1;4;0
Vinho espumante, Bruto;74;0;1,1;0
Vinho espumante, Doce;110;0,1;12;0
Vinho espumante, Extra bruto;71;0;0,7;0
Vinho espumante, Extra seco;76;0;2,2;0
Vinho espumante, Meio seco;80;0;4,1;0
Vinho espumante, Seco;77;0;3,1;0
Vinho frisante;68;0;2;0
Vinho licoroso, teor alcoólico  ≥17 e <20%vol.;126;0;6,1;0
Vinho licoroso, teor alcoólico <17%vol.;123;0;7,8;0
Vinho licoroso, teor alcoólico ≥20% vol.;147;0;7,5;0
Vinho maduro branco, teor alcoólico <12,5% vol.;74;0;1,1;0
Vinho maduro branco, teor alcoólico ≥12,5% vol.;98;0;1,1;0
Vinho maduro palhete;65;0,1;0,1;0
Vinho maduro tinto, teor alcoólico <12,5% vol.;72;0;0,9;0
Vinho maduro tinto, teor alcoólico ≥12,5% vol.;96;0;0,9;0
Vinho rosé de uvas sobreamadurecidas;107;0;9,3;0
Vinho rosé, teor alcoólico <12,5% vol.;71;0;1,3;0
Vinho rosé, teor alcoólico ≥12,5% vol.;103;0;0,9;0
Vinho verde branco;60;0;0,1;0
Vinho verde tinto;59;0;0,3;0
Vitela, bife cru;149;19,9;0,2;7,6
Vitela, bife frito;229;19;0,4;16,4
Vitela, chambão cru;195;20,3;0,2;12,6
Vitela, coração cru;100;16,8;0;3,6
Vitela, costeleta crua;121;20;0;4,5
Vitela, costeleta frita com margarina;183;23,4;0;9,9
Vitela, costeleta frita panada;148;19,7;3,4;5,3
Vitela, costeleta frita sem molho;159;24,3;0;6,9
Vitela, costeleta grelhada;131;25,2;0;3,3
Vitela, fígado cru;119;20,3;1,5;3,5
Vitela, fígado frito com margarina e banha;201;22,6;1,7;11,5
Vitela, fígado frito sem molho;179;24,6;1,5;8,3
Vitela, fígado grelhado;153;25,7;1,9;4,7
Vitela, lombo assado com azeite e margarina;225;23;0,2;14,4
Vitela, lombo assado com azeite, margarina e óleo alimentar;225;23;0,2;14,4
Vitela, lombo assado com margarina e óleo alimentar;225;23;0,2;14,4
Vitela, lombo assado, sem molho;151;25,1;0;5,6
Vitela, lombo cru;148;19,9;0;7,6
Vitela, lombo frito com margarina;217;23,5;0;13,7
Vitela, lombo frito, sem molho;195;24,9;0;10,6
Vitela, lombo grelhado;150;25;0;5,6
Vitela, pá crua;138;23,3;0,3;4,9
Vitela, peito magro cozido;171;24,8;0;8
Vitela, peito magro cru;147;19,6;0;7,6
Vitela, peito magro estufado;208;22,9;0,6;12,6
Vitela, peito magro estufado com azeite e margarina;208;22,9;0,6;12,6
Vitela, peito magro estufado com azeite, margarina e óleo alimentar;208;22,9;0,6;12,6
Vitela, peito magro estufado com margarina e óleo alimentar;208;22,9;0,6;12,6
Vitela, peito magro estufado, sem molho;179;26;0;8,3
Wasabi, raiz crua;100;4,8;15,8;0,6
